Basin,Grid,Grid_old,temp,turb
1,1,2,20.04885714,13.29428571
1,2,1,19.52583333,8.875
1,3,4,18.89777778,2.688888889
1,4,3,19.15833333,16.35
1,5,8,19.034,4.25
1,6,7,18.794,1.88
1,7,6,18.831875,9.78
1,8,11,18.157,1.94
1,9,10,18.51764706,6.588235294
1,10,13,18.89190476,5.742857143
2,11,12,19.2,4.933333333
2,12,15,19.004,5.5
2,13,14,18.92235294,6.1375
2,14,22,16.05916667,3.708333333
2,15,21,16.09230769,2.976923077
2,16,20,15.83,3.733333333
2,17,25,15.93846154,3.607692308
2,18,24,15.82285714,2.842857143
2,19,23,16.10130435,3.986363636
2,20,28,15.84952381,2.223809524
2,21,27,15.93454545,2.436363636
2,22,26,15.80875,3.3
2,23,31,15.92473684,2.063157895
2,24,30,15.90956522,3.395652174
2,25,29,16.01727273,3.427272727
3,26,34,15.85526316,1.878947368
3,27,33,15.744,2.72
3,28,32,15.89818182,3.218181818
3,29,36,13.56227273,4.204545455
3,30,35,13.28863636,2.963636364
3,31,38,13.733,2.22
3,32,37,13.03416667,3.35
3,33,40,13.41217391,2.436363636
3,34,39,12.979,5.65
