Basin,Grid,Site,GEAR,SPECIES,LENGTH,walleye
1,2,,,,340,NA
1,3,,,,340,NA
1,6,,,,340,NA
1,7,,,,340,NA
1,9,,,,340,NA
1,11,,,,340,NA
2,15,,,,340,NA
2,17,,,,340,NA
2,23,,,,340,NA
2,24,,,,340,NA
2,25,,,,340,NA
3,29,,,,340,NA
3,30,,,,340,NA
1,13,GN08,7,334,656,1
1,13,GN09,7,334,630,1
1,13,GN09,7,334,611,1
1,1,GN01,7,334,599,1
1,13,GN08,7,334,588,1
1,13,GN08,7,334,581,1
1,10,GN06,7,334,576,1
1,12,GN07,7,334,569,1
1,13,GN08,7,334,567,1
1,12,GN07,7,334,565,1
1,13,GN08,7,334,556,1
1,13,GN09,7,334,540,1
1,1,GN01,7,334,538,1
1,13,GN09,7,334,535,1
1,13,GN09,7,334,535,1
1,13,GN08,7,334,532,1
1,13,GN08,7,334,530,1
1,13,GN09,7,334,530,1
1,13,GN08,7,334,529,1
1,1,GN01,7,334,528,1
1,13,GN09,7,334,525,1
1,13,GN08,7,334,524,1
1,13,GN09,7,334,524,1
1,13,GN09,7,334,524,1
1,1,GN01,7,334,521,1
1,10,GN06,7,334,521,1
1,4,GN03,7,334,516,1
1,1,GN01,7,334,515,1
1,10,GN06,7,334,513,1
1,12,GN07,7,334,513,1
1,13,GN09,7,334,513,1
1,4,GN03,7,334,512,1
1,13,GN09,7,334,509,1
1,13,GN09,7,334,509,1
1,13,GN09,7,334,508,1
1,1,GN01,7,334,506,1
1,4,GN03,7,334,506,1
1,13,GN08,7,334,506,1
1,1,GN01,7,334,505,1
1,8,GN05,7,334,504,1
1,4,GN03,7,334,502,1
1,1,GN01,7,334,499,1
1,1,GN01,7,334,497,1
1,13,GN09,7,334,497,1
1,8,GN05,7,334,496,1
1,13,GN09,7,334,495,1
1,1,GN01,7,334,494,1
1,12,GN07,7,334,494,1
1,13,GN09,7,334,494,1
1,1,GN01,7,334,493,1
1,4,GN03,7,334,491,1
1,10,GN06,7,334,490,1
1,12,GN07,7,334,490,1
1,12,GN07,7,334,488,1
1,13,GN08,7,334,488,1
1,1,GN01,7,334,487,1
1,4,GN03,7,334,486,1
1,13,GN08,7,334,486,1
1,13,GN09,7,334,485,1
1,13,GN09,7,334,485,1
1,13,GN09,7,334,485,1
1,13,GN09,7,334,484,1
1,13,GN09,7,334,483,1
1,13,GN09,7,334,482,1
1,1,GN01,7,334,481,1
1,13,GN08,7,334,481,1
1,4,GN03,7,334,480,1
1,13,GN08,7,334,480,1
1,4,GN03,7,334,477,1
1,4,GN03,7,334,477,1
1,4,GN03,7,334,477,1
1,13,GN08,7,334,477,1
1,13,GN08,7,334,477,1
1,5,GN04,7,334,476,1
1,13,GN08,7,334,476,1
1,1,GN01,7,334,475,1
1,1,GN01,7,334,474,1
1,13,GN09,7,334,474,1
1,13,GN09,7,334,474,1
1,8,GN05,7,334,473,1
1,12,GN07,7,334,473,1
1,13,GN09,7,334,473,1
1,1,GN01,7,334,472,1
1,4,GN03,7,334,472,1
1,5,GN04,7,334,472,1
1,4,GN03,7,334,471,1
1,4,GN03,7,334,470,1
1,4,GN03,7,334,469,1
1,10,GN06,7,334,469,1
1,13,GN08,7,334,468,1
1,13,GN09,7,334,468,1
1,13,GN09,7,334,468,1
1,12,GN07,7,334,467,1
1,13,GN09,7,334,467,1
1,4,GN03,7,334,466,1
1,4,GN03,7,334,466,1
1,13,GN08,7,334,466,1
1,4,GN03,7,334,465,1
1,13,GN09,7,334,465,1
1,13,GN09,7,334,465,1
