Province,Type,NWRFD,NWRSD,PlanningZone,Longitude,Latitude,Magnitude,ServedPeople,Quantity,As,Note1,F,Note4,Copper,Note7,City.num,Name.num
Beijing,reservoir,C,C020000,1,115.5333333,40.23333333,small,0,0,0.01415625,,1.16875,,0.008,<,27,1015
Beijing,reservoir,C,C020000,1,116.6166667,40.3,large,7.078285575,740,0.001265556,,0.35,,0.008,<,27,1298
Beijing,stream,C,C030000,1,115.65,39.63333333,large,19.13050155,2000,0.000595,,0.1875,,0.008,<,27,4037
Beijing,reservoir,C,C020000,1,116.9833333,40.46666667,xlarge,318.1402409,33260,0.007,<,0.3,,0.008,<,27,2127
Beijing,groundwater,C,C020000,1,116.4333333,39.93333333,large,8.538899369,892.7,0.001,<,0.03,,0.001,<,27,596
Beijing,groundwater,C,C020000,1,116.3833333,39.95,xlarge,23.44156008,2450.7,0.001,<,0.04,,0.001,<,27,578
Beijing,groundwater,C,C020000,1,116.3,39.93333333,xlarge,109.1309026,11409.1,0.001,<,0.14,,0.001,<,27,583
Beijing,groundwater,C,C020000,1,116.3166667,39.86666667,large,13.74430884,1436.9,0.001,<,0.05,,0.001,<,27,585
Beijing,groundwater,C,C020000,1,116.4666667,39.98333333,large,9.260119278,968.1,0.001,<,0.21,,0.001,<,27,586
Beijing,groundwater,C,C020000,1,116.3666667,39.85,medium,3.223489512,337,0.001,<,0.05,,0.001,<,27,579
Beijing,groundwater,C,C020000,1,116.45,39.95,xlarge,107.5947234,11248.5,0.001,<,0.25,,0.001,<,27,573
Beijing,groundwater,C,C020000,1,117.1666667,40.15,xlarge,115.4047506,12065,0.001,<,0.22,,0.008,<,27,1299
Beijing,groundwater,C,C020000,1,116.65,40.33333333,large,12.71221828,1329,0.00006,<,0.82,,0.008,<,27,2382
Beijing,groundwater,C,C020000,1,116.2,39.91666667,xlarge,20,1198,0.00012,,0.56,,0.008,<,27,2788
Beijing,groundwater,C,C020000,1,116.7666667,39.93333333,xlarge,22,657,0.01,<,0.7,,NA,,27,3810
Beijing,groundwater,C,C020000,1,116.2833333,39.75,large,18,5355.74,0.00089,,0.3,,0.008,<,27,1313
Beijing,groundwater,C,C030000,1,116.1166667,39.8,large,11,401,0.001,<,0.06,,0.001,<,27,791
Beijing,groundwater,C,C030000,1,115.9833333,39.8,large,16.56929638,409,0.0004,,0.18,,0.008,<,27,789
Beijing,groundwater,C,C030000,1,115.9166667,39.66666667,medium,2.430703625,60,0.0004,,0.17,,0.008,<,27,790
Beijing,groundwater,C,C020000,1,116.1833333,40.23333333,large,NA,NA,0.0005,<,0.224,,0.1,<,27,3395
Beijing,groundwater,C,C020000,1,116.25,40.2,large,NA,NA,0.0005,<,0.244,,0.1,<,27,1290
Beijing,groundwater,C,C020000,1,116.1833333,40.23333333,large,NA,NA,0.0005,<,0.263,,0.1,<,27,570
Beijing,groundwater,C,C020000,1,116.2666667,40.13333333,large,NA,NA,NA,,NA,,NA,,27,2675
Beijing,groundwater,C,C020000,1,116.6666667,40.25,xlarge,38.7,2223,0.001,<,0.25,,0.001,<,27,2931
Beijing,groundwater,C,C020000,1,115.9666667,40.46666667,large,6.2,491,0.002,,0.42,,0.001,<,27,1537
Beijing,groundwater,C,C020000,1,116.7,40.35,large,14.5,123.5,0.001,<,0.08,,0.001,<,27,2863
Beijing,groundwater,C,C020000,1,116.6666667,40.31666667,small,0.34,793,NA,,0.22,,0.1,<,27,3248
Beijing,groundwater,C,C020000,1,116.8,40.4,large,15.8,840,0.001,<,0.27,,0.001,<,27,1100
Beijing,groundwater,C,C020000,1,117.1166667,40.13333333,large,12,203.1,0.0012,,0.67,,0.008,<,27,2381
Tianjin,reservoir,C,C030000,1,117.8,39.9,xlarge,632,30585,0.000348182,,0.589090909,,0.005090909,,267,3949
Tianjin,reservoir,C,C030000,1,117.3,39.4,xlarge,0,0,0.000308333,,0.63,,0.00325,,267,746
Tianjin,groundwater,C,C030000,1,117.1,39.6,large,12,365,0.00076,,0.8,,0.012,,267,3358
Tianjin,groundwater,C,C020000,1,117.3,40.1,large,13.05,800,0.01,,0.35,,0.01,,267,1389
Hebei,reservoir,C,C030000,1,114.3,38.25,xlarge,165,6420,0.004,,0.5,,0.01,<,249,1310
Hebei,reservoir,C,C030000,1,114.016667,38.3,xlarge,165,6420,0.004,,0.45,,0.01,<,249,906
Hebei,reservoir,C,C010000,1,118.24,40.6,xlarge,33.44530972,10000,0.00153,,0.6,,0.01,<,266,2354
Hebei,reservoir,C,C010000,1,118.28,40.3,xlarge,0,NA,0.001132,,0.58,,0.01,<,266,459
Hebei,reservoir,C,C010000,1,118.3,39.72,large,18.48522268,5527,NA,,0.5,,0.001,<,266,719
Hebei,reservoir,C,C010000,1,118.2,40,large,13.7794676,4120,NA,,0.43,,NA,,266,2556
Hebei,reservoir,C,C010000,1,119,40.16,xlarge,57.2,NA,NA,,0.245,,NA,,221,3060
Hebei,reservoir,C,C010000,1,119.22,39.98,xlarge,57.2,10243,NA,,0.25,,0.001,<,221,3777
