DATE,Upurp,Utot,AM.UTP,GM.UTP
2-Aug-93,0,0,9.449999928,8.932958295
2-Aug-93,0,2,10.9000001,10.89265817
2-Aug-93,0,5,11.12500024,9.944096076
2-Aug-93,0,0,11.20000029,11.03766307
2-Aug-93,0,0,11.64999962,11.18749262
2-Aug-93,0,0,12.95000005,11.70042742
2-Aug-93,1,1,13.82500029,11.97385767
2-Aug-93,0,0,14,13.99964285
2-Aug-93,0,2,14.5,13.93735986
2-Aug-93,0,0,17.55000019,15.84297964
2-Aug-93,0,0,18.84999943,18.74886608
2-Aug-93,0,1,19.4000001,17.62810271
2-Aug-93,0,0,21.94999981,21.91985379
2-Aug-93,0,0,22.40000057,20.37817514
2-Aug-93,0,0,23.25,21.69884775
2-Aug-93,0,1,23.27500057,20.4766734
2-Aug-93,0,0,24.9000001,22.67047391
2-Aug-93,0,0,25.75,25.74956311
2-Aug-93,0,0,25.82500005,23.42729542
2-Aug-93,0,0,26.80000019,26.77312105
2-Aug-93,0,0,28.26666609,16.07624024
2-Aug-93,0,0,29.15000057,25.42951054
2-Aug-93,0,0,29.9000001,27.22178538
2-Aug-93,0,0,32.64999962,32.6453668
2-Aug-93,0,0,32.64999962,32.15742495
2-Aug-93,0,0,34.57499933,31.82447745
2-Aug-93,0,0,34.95000076,34.94195263
2-Aug-93,0,0,37.20000076,31.041747
2-Aug-93,0,0,40.45000076,33.78076467
2-Aug-93,0,2,40.60000038,40.46566475
2-Aug-93,0,0,41.49999905,38.65539986
2-Aug-93,0,0,45.06666692,42.01903941
2-Aug-93,0,0,51.30000114,50.52207561
2-Aug-93,0,0,64.69999981,59.17251407
2-Aug-93,0,0,72.27499866,68.45104424
2-Aug-93,0,0,76.09999847,74.87489439
16-Dec-93,0,0,7.36,3.66303878
16-Dec-93,0,0,7.9,3.619840681
16-Dec-93,0,1,8.025,6.068491876
16-Dec-93,0,2,8.475,6.261918091
16-Dec-93,0,9,8.566666667,8.260410488
16-Dec-93,0,6,9.133333333,9.083155249
16-Dec-93,0,0,9.32,3.310741343
16-Dec-93,0,16,9.6,9.523568443
16-Dec-93,0,3,9.775,6.820979919
16-Dec-93,0,10,9.875,8.148903964
16-Dec-93,0,5,10.625,4.020606621
16-Dec-93,0,6,11.375,6.231772158
16-Dec-93,11,11,13.2,13.88125763
16-Dec-93,0,14,13.4,10.69900128
16-Dec-93,0,0,13.46,5.695088062
16-Dec-93,0,0,14.76,7.676631145
16-Dec-93,0,3,15.06666667,13.84273318
16-Dec-93,0,3,15.4,9.773177251
16-Dec-93,0,0,16.4,7.930832978
16-Dec-93,0,1,16.425,8.285871173
16-Dec-93,0,0,17.18,10.42367777
16-Dec-93,0,0,17.5,10.78334958
16-Dec-93,0,0,17.62,9.788029851
16-Dec-93,0,0,18.775,11.12866668
16-Dec-93,0,0,20.54,12.33935464
16-Dec-93,0,0,22.475,16.10627627
16-Dec-93,0,0,25.275,10.97579358
16-Dec-93,0,0,29.5,18.45598145
16-Dec-93,0,0,30.6,11.77658076
16-Dec-93,0,0,31.05,9.954420421
16-Dec-93,0,0,32.06,18.37944678
16-Dec-93,0,0,34.54,18.78287005
16-Dec-93,0,0,43.8,21.84770375
16-Dec-93,0,0,49.66666667,45.29267019
16-Dec-93,0,0,51.24,23.01612127
16-Dec-93,0,0,110.05,36.76444071
10-Apr-94,3,11,4.92,4.480692757
10-Apr-94,0,2,5.18,5.515384615
10-Apr-94,0,14,5.266666667,2.80336896
10-Apr-94,0,12,5.4,3.418335951
10-Apr-94,0,13,5.82,4.924633498
10-Apr-94,1,1,5.916666667,2.600670399
10-Apr-94,0,17,6.016666667,3.514997653
10-Apr-94,0,0,7.32,8.491287652
10-Apr-94,12,12,8.72,7.888370752
10-Apr-94,0,14,8.975,8.291255623
10-Apr-94,10,10,8.98,4.460761875
10-Apr-94,17,17,9.15,8.656246756
10-Apr-94,0,8,11.35,9.969252681
10-Apr-94,0,4,12.68333333,7.871987202
10-Apr-94,0,0,13.6,8.379859991
10-Apr-94,0,0,14.05,9.194872027
10-Apr-94,0,0,14.08,9.374391263
10-Apr-94,5,11,14.38,8.174691881
10-Apr-94,2,5,14.45,9.112180459
10-Apr-94,2,6,16.38,8.892319298
10-Apr-94,6,12,18.5,15.1745563
10-Apr-94,0,0,18.95,13.32435673
10-Apr-94,0,0,19.74,9.005980294
10-Apr-94,0,0,20.41666667,8.784495924
10-Apr-94,0,0,29.74,20.37088312
