datetime,waterT,conc,flow
1/5/1979,5.162266693,1.5,11220937.52
3/13/1979,11.60455055,0.58,50704811.36
4/3/1979,20.02907559,0.4,25416394.15
4/18/1979,14.08235203,0.68,13998877.32
5/10/1979,23.49799766,0.84,5796796.775
5/22/1979,23.00243737,0.41,23036419.84
6/6/1979,23.00243737,1.1,11034298.25
6/19/1979,24.48911826,0.75,10619281.57
7/9/1979,22.50687707,0.5,2704633.369
7/26/1979,27.46248004,0.74,6057972.692
8/30/1979,26.96691974,0.9,1971649.426
9/11/1979,25.48023885,2.3,36172779
9/20/1979,23.99355796,0.59,5201153.9
11/7/1979,15.56903292,0.99,9671749.706
11/14/1979,12.59567114,1.7,11847042.46
12/6/1979,17.05571381,0.25,18029767.01
1/9/1980,11.10899025,1.1,7912915.95
5/18/1980,23.49799766,1,3304825.01
6/10/1980,24.48911826,0.7,2216240.329
8/11/1980,29.44472122,0.35,1210761.106
10/9/1980,22.50687707,1.3,2625542.509
11/24/1980,17.05571381,1.1,3989478.995
12/11/1980,8.631188769,1.1,3153279.981
1/12/1981,1.3,1.4,4470508.877
2/5/1981,2.188904914,1.2,5880418.217
3/5/1981,15.56903292,0.88,5666358.008
4/9/1981,18.5423947,0.96,4178298.034
5/18/1981,19.53351529,0.88,1760224.125
6/11/1981,25.48023885,1,5457047.948
7/31/1981,25.48023885,0.87,1824552.944
8/13/1981,25.97579915,0.63,10587860.98
9/15/1981,26.96691974,0.64,6582580.849
10/14/1981,19.03795499,1,939589.7405
11/17/1981,14.08235203,1,1349112.589
12/10/1981,4.1711461,1.5,1799727.482
1/11/1982,1.3,0.88,26969272.03
2/10/1982,12.59567114,0.81,22623235.66
3/17/1982,21.02019618,0.5,26830622.74
4/19/1982,16.56015351,0.86,5221749.269
5/19/1982,23.49799766,1.2,2634827.473
6/9/1982,23.49799766,0.72,16483278.7
7/12/1982,27.95804033,0.73,4839157.11
8/12/1982,24.48911826,0.77,5891358.668
9/7/1982,22.01131677,0.94,2461193.893
10/12/1982,20.52463588,0.86,1533692.421
11/4/1982,23.99355796,0.66,4041531.744
12/1/1982,21.51575648,0.98,4202003.834
1/11/1983,13.58679173,0.91,18351042.31
2/7/1983,8.135628472,1,14824193.98
3/14/1983,14.08235203,1.1,23871914.08
4/11/1983,17.05571381,0.56,30518317.43
5/10/1983,17.55127411,0.77,10578355.55
6/15/1983,24.48911826,0.98,8596218.994
7/7/1983,24.98467855,0.96,4551857.015
10/4/1983,23.99355796,1,1132887.049
11/14/1983,10.11786966,1.4,1290579.284
12/6/1983,18.5423947,1.1,4904302.175
1/10/1984,15.07347262,0.95,9470923.726
2/8/1984,4.666706397,1,10124465.84
3/15/1984,13.09123144,0.63,28578953.77
4/10/1984,10.61342995,0.44,30621030.83
5/15/1984,19.03795499,0.66,15127086.65
6/14/1984,26.96691974,0.55,5270587.702
7/9/1984,22.50687707,0.52,5113332.963
8/14/1984,26.96691974,0.68,9481247.636
9/11/1984,24.48911826,0.58,3499157.078
10/8/1984,21.02019618,0.98,5380873.948
11/7/1984,11.60455055,1,3714572.824
12/11/1984,13.58679173,0.75,7195002.262
1/15/1985,3.675585804,0.72,12867095.61
2/8/1985,2.188904914,1,25256065
3/14/1985,19.53351529,1,7108778.4
4/2/1985,15.56903292,0.78,7103305.896
5/13/1985,23.49799766,1.2,2565725.115
6/28/1985,22.50687707,0.81,1843094.08
7/29/1985,26.47135944,0.9,6005193.119
8/7/1985,26.47135944,0.63,5020561.725
9/25/1985,24.98467855,0.66,897016.1925
10/16/1985,23.99355796,0.92,1947412.104
11/12/1985,21.51575648,1,3930424.105
12/3/1985,6.648947583,0.74,14448121.77
1/16/1986,9.126749065,1.2,3566347.4
2/10/1986,11.60455055,0.97,5483703.889
3/18/1986,17.05571381,0.84,10206522.17
4/2/1986,20.52463588,0.74,4895662.626
5/8/1986,24.98467855,1.1,1476372.071
6/19/1986,23.99355796,1.1,1643843.857
7/11/1986,28.94916092,1.1,1775296.542
8/20/1986,27.46248004,0.64,8430202.093
9/16/1986,25.48023885,1.1,2209896.418
10/21/1986,15.07347262,1.3,1260306.928
1/21/1987,10.11786966,1.5,15476824.71
3/12/1987,8.135628472,0.43,45537728.71
4/21/1987,21.51575648,0.68,31485833.19
5/11/1987,22.50687707,0.83,6830034.568
5/27/1987,23.99355796,0.86,5733422.256
6/8/1987,26.96691974,0.85,2752605.244
7/14/1987,28.45360063,0.85,1722146.512
8/20/1987,27.95804033,0.89,1623805.039
9/8/1987,28.45360063,1,1474856.113
10/20/1987,21.02019618,1.3,1295243.975
11/18/1987,18.0468344,1.4,1600470.622
12/9/1987,17.05571381,1,1758266.332
1/20/1988,17.55127411,1.6,5505664.078
2/17/1988,12.10011084,0.95,11759505.65
3/14/1988,11.60455055,1.1,8105254.254
4/6/1988,21.51575648,0.8,3841711.786
4/27/1988,20.02907559,0.63,8975730.508
5/24/1988,26.47135944,0.85,7889877.705
6/27/1988,23.00243737,0.79,3301519.327
7/12/1988,27.95804033,0.95,1271663.282
8/22/1988,26.47135944,0.75,2599163.532
9/19/1988,25.97579915,0.91,2990491.11
10/19/1988,16.56015351,1.2,1885813.994
11/15/1988,18.0468344,0.57,4001054.714
12/6/1988,11.10899025,0.72,4890756.792
1/5/1989,6.153387286,1.2,5692155.761
2/7/1989,16.56015351,1.1,3466449.027
3/21/1989,18.0468344,0.49,32711321.29
4/19/1989,23.00243737,0.58,36006708.01
5/18/1989,19.4,0.46,38325281.31
6/15/1989,27.1,0.59,12245073.77
7/11/1989,28,0.9,6756025.239
8/9/1989,29.2,0.43,13486117.79
