month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
8,31,2022,8/31/2022,41.42819791,-83.05765917,0,LM,,,,365.1783336,Random
8,11,2022,8/11/2022,41.42354947,-83.06601716,0,LM,,,,197.2761074,Non-Random
7,18,2022,7/18/2022,41.38629691,-83.08851349,0,UM,,,,450.420501,Random
7,13,2022,7/13/2022,41.4292,-83.05981,0,LM,,,,528.6276184,Random
7,14,2022,7/14/2022,41.43736926,-83.03116864,0,M,,,,140.9516929,Sustained
10,10,2022,10/10/2022,41.41635326,-83.08610237,0,LM,,,,74.63178419,Sustained
8,4,2022,8/4/2022,41.417,-83.07261,0,LM,,,,550.1441474,Non-Random
9,13,2022,9/13/2022,41.42187234,-83.06956667,0,LM,,,,51.62776346,Sustained
8,3,2022,8/3/2022,41.42265494,-83.06544258,0,LM,,,,508.3948603,Sustained
8,29,2022,8/29/2022,41.38889708,-83.08567076,0,UM,,,,424.9815097,Random
6,29,2022,6/29/2022,41.4267995,-83.04749225,1,M,,,,348.8748683,Random
7,6,2022,7/6/2022,41.41979407,-83.07277793,0,LM,,,,467.132567,Random
8,10,2022,8/10/2022,41.41306982,-83.08427561,0,LM,,,,362.5048622,Non-Random
7,10,2022,7/10/2022,41.36915,-83.10578,0,FM,,,,276.4388016,Non-Random
8,4,2022,8/4/2022,41.43,-83.03426524,0,M,,,,1210.848469,Non-Random
7,10,2022,7/10/2022,41.389,-83.08521,0,UM,,,,18432.30426,Non-Random
8,1,2022,8/1/2022,41.38567605,-83.08722001,0,UM,,,,398.9975614,Sustained
8,15,2022,8/15/2022,41.3977,-83.10139,0,UM,,,,207.8977357,Non-Random
7,5,2022,7/5/2022,41.438,-83.0393,0,M,,,,50.32543311,Sustained
7,12,2022,7/12/2022,41.35351717,-83.10517974,0,FM,,,,115.8292307,Sustained
8,16,2022,8/16/2022,41.39778994,-83.10139673,0,UM,,,,201.2025394,Non-Random
8,12,2022,8/12/2022,41.40251861,-83.09298824,0,UM,,,,360.2987505,Non-Random
6,28,2022,6/28/2022,41.36019223,-83.1006525,0,FM,,,,385.3308971,Non-Random
10,10,2022,10/10/2022,41.40998813,-83.07778079,0,LM,,,,341.1156361,Sustained
7,28,2022,7/28/2022,41.36901712,-83.10596231,0,FM,,,,460.0113465,Non-Random
9,25,2022,9/25/2022,41.43890987,-83.03134398,0,M,,,,544.1444835,Non-Random
6,24,2022,6/24/2022,41.42906849,-83.0493937,0,M,,,,477.6460008,Bait/Attractant
9,6,2022,9/6/2022,41.38959685,-83.10395483,0,UM,,,,450.7657802,Random
7,11,2022,7/11/2022,41.39833884,-83.10087782,0,UM,,,,434.8787864,Bait/Attractant
5,2,2022,5/2/2022,41.42213,-83.06975,0,LM,,,,202.3041432,Bait/Attractant
8,31,2022,8/31/2022,41.37813897,-83.09556182,0,FM,,,,323.3334289,Non-Random
8,15,2022,8/15/2022,41.39133012,-83.10231885,0,UM,,,,419.4403143,Random
8,7,2022,8/7/2022,41.43797894,-83.03224825,0,M,,,,1118.3173,Non-Random
8,22,2022,8/22/2022,41.40511997,-83.08064489,0,LM,,,,355.5962103,Bait/Attractant
8,22,2022,8/22/2022,41.41887297,-83.07242905,0,LM,,,,320.3537796,Bait/Attractant
6,24,2022,6/24/2022,41.418631,-83.0739005,0,LM,,,,294.7513067,Bait/Attractant
