month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
4,28,2022,4/28/2022,41.39335084,-83.09247042,0,UM,,,,964.0179398,Non-Random
7,5,2022,7/5/2022,41.38,-83.096,0,FM,,,,228.7176057,Non-Random
7,27,2022,7/27/2022,41.41073581,-83.07879087,0,LM,,,,1023.634789,Non-Random
5,31,2022,5/31/2022,41.35284673,-83.11040028,0,FM,,,,474.3810704,Non-Random
4,5,2022,4/5/2022,41.38978215,-83.0860733,0,UM,,,,476.228245,Non-Random
9,28,2022,9/28/2022,41.39396868,-83.09481706,0,UM,,,,1553.153916,Non-Random
9,28,2022,9/28/2022,41.39353,-83.09493,0,UM,,,,892.2371492,Non-Random
9,27,2022,9/27/2022,41.42467,-83.04908,0,M,,,,418.4358081,Non-Random
5,12,2022,5/12/2022,41.38934464,-83.10471527,0,UM,,,,449.8343495,Non-Random
9,28,2022,9/28/2022,41.39392,-83.1069,0,UM,,,,986.9100482,Non-Random
4,14,2022,4/14/2022,41.38988899,-83.08597138,0,UM,,,,554.9399954,Non-Random
4,14,2022,4/14/2022,41.38455234,-83.09659475,0,UM,,,,473.3039412,Non-Random
7,27,2022,7/27/2022,41.40330216,-83.08251005,0,LM,,,,985.4141929,Non-Random
4,5,2022,4/5/2022,41.40195488,-83.09410531,0,LM,,,,532.4370346,Non-Random
11,8,2022,11/8/2022,41.41887,-83.07575,1,LM,,,,714.6697028,Non-Random
6,7,2022,6/7/2022,41.37882467,-83.09563572,0,FM,,,,641.5734229,Non-Random
4,28,2022,4/28/2022,41.38632669,-83.08935504,0,UM,,,,588.4580261,Non-Random
7,7,2022,7/7/2022,41.39394676,-83.09807483,0,UM,,,,867.1810336,Non-Random
9,29,2022,9/29/2022,41.38068809,-83.09604575,0,FM,,,,339.1215593,Non-Random
5,19,2022,5/19/2022,41.38469123,-83.09641466,0,UM,,,,491.6969485,Non-Random
4,21,2022,4/21/2022,41.38914059,-83.1048139,0,UM,,,,503.8527925,Non-Random
5,12,2022,5/12/2022,41.37058902,-83.0965579,0,FM,,,,252.7148617,Non-Random
9,8,2022,9/8/2022,41.40164796,-83.09533276,0,UM,,,,803.3088475,Non-Random
7,11,2022,7/11/2022,41.38445,-83.09637,0,UM,,,,444.6720489,Non-Random
8,1,2022,8/1/2022,41.40133307,-83.09460186,0,UM,,,,334.1430143,Non-Random
8,11,2022,8/11/2022,41.39148166,-83.10225611,0,UM,,,,436.1432882,Non-Random
5,12,2022,5/12/2022,41.35290216,-83.10987492,0,FM,,,,437.1634671,Non-Random
5,12,2022,5/12/2022,41.37973232,-83.09589637,1,FM,,,,364.6423884,Non-Random
7,5,2022,7/5/2022,41.4352,-83.0419,0,M,,,,434.553302,Sustained
9,27,2022,9/27/2022,41.43476,-83.02915,0,M,,,,482.1071067,Non-Random
11,3,2022,11/3/2022,41.42587746,-83.06209743,0,LM,,,,519.5585996,Non-Random
8,22,2022,8/22/2022,41.35078477,-83.11125507,0,FM,,,,673.52,Non-Random
4,5,2022,4/5/2022,41.38528443,-83.08659839,0,UM,,,,634.2935235,Non-Random
6,2,2022,6/2/2022,41.41767586,-83.08497584,0,LM,,,,530.478276,Random
7,27,2022,7/27/2022,41.38993653,-83.08601034,0,UM,,,,426.4980746,Non-Random
8,4,2022,8/4/2022,41.393,-83.1117,0,UM,,,,727.8539214,Non-Random
6,2,2022,6/2/2022,41.36,-83.099,0,FM,,,,685.6369656,Non-Random
5,19,2022,5/19/2022,41.37979552,-83.09576976,0,FM,,,,410.2192122,Non-Random
4,6,2022,4/6/2022,41.38910931,-83.10498944,0,UM,,,,504.8887459,Non-Random
4,6,2022,4/6/2022,41.43845053,-83.032127,0,M,,,,212.3778121,Random
9,29,2022,9/29/2022,41.36046871,-83.10016583,0,FM,,,,1112.605173,Non-Random
9,29,2022,9/29/2022,41.35352111,-83.10548037,0,FM,,,,280.6404564,Non-Random
7,27,2022,7/27/2022,41.4021393,-83.09444735,0,UM,,,,925.2869066,Non-Random
9,29,2022,9/29/2022,41.35347297,-83.10535091,0,FM,,,,320.5942665,Non-Random
