,month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
1,6,15,2018,15/06/2018,41.42125,-83.0762,0,LM,2170.208333,61.45335532,c,,
2,6,15,2018,15/06/2018,41.42036,-83.08446,0,LM,2170.208333,61.45335532,c,,
3,6,15,2018,15/06/2018,41.42041,-83.08381,0,LM,2170.208333,61.45335532,c,,
4,6,27,2018,27/06/2018,41.42125,-83.0762,1,LM,526.875,14.919414,b,,
5,6,27,2018,27/06/2018,41.42041,-83.08381,1,LM,526.875,14.919414,b,,
6,6,27,2018,27/06/2018,41.41992,-83.07491,0,LM,526.875,14.919414,b,,
7,6,27,2018,27/06/2018,41.41758,-83.08432,0,LM,526.875,14.919414,b,,
8,8,23,2018,23/08/2018,41.41725,-83.08471,0,LM,269.0208333,7.617809132,a,,
9,8,23,2018,23/08/2018,41.42024,-83.07612,0,LM,269.0208333,7.617809132,a,,
10,8,23,2018,23/08/2018,41.41032,-83.07905,0,LM,269.0208333,7.617809132,a,,
11,9,13,2018,13/09/2018,41.411732,-83.08069,0,LM,338.4583333,9.584056932,a,,
12,9,13,2018,13/09/2018,41.417321,-83.08586,0,LM,338.4583333,9.584056932,a,,
13,9,13,2018,13/09/2018,41.41985,-83.07481,0,LM,338.4583333,9.584056932,a,,
14,9,13,2018,13/09/2018,41.40286,-83.08535,0,LM,338.4583333,9.584056932,a,,
15,9,14,2018,14/09/2018,41.43538,-83.04153,0,M,265.7291667,7.524599668,a,,
16,9,14,2018,14/09/2018,41.41433,-83.08588,1,LM,265.7291667,7.524599668,a,,
17,9,14,2018,14/09/2018,41.41554,-83.08634,1,LM,265.7291667,7.524599668,a,,
18,11,16,2018,16/11/2018,41.41601,-83.08644,0,LM,734.2708333,20.79220033,b,,
19,11,16,2018,16/11/2018,41.42269,-83.06291,0,LM,734.2708333,20.79220033,b,,
20,10,1,2019,10/1/2019,41.41836,-83.07214,0,LM,919.90625,26.0488013,b,,
21,4,2,2019,4/2/2019,41.41965,-83.07388,0,LM,1126.9375,31.9112638,b,,
22,4,3,2019,4/3/2019,41.3793,-83.09507,0,UM,618.875,17.5245596,b,,
23,10,3,2019,10/3/2019,41.41837,-83.07217,2,LM,905.5,25.6408624,b,,
24,10,3,2019,10/3/2019,41.41837,-83.07217,2,LM,905.5,25.6408624,b,,
25,10,3,2019,10/3/2019,41.42007,-83.07529,0,LM,905.5,25.6408624,b,,
26,4,23,2019,23/04/2019,41.41815,-83.08774,0,LM,8316.5625,235.498437,d,,
27,4,24,2019,24/04/2019,41.37007,-83.09746,0,UM,4445.520833,125.8829243,c,,
