month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance
6,29,2020,6/29/2020,41.42254,-83.03411,0,M,,,,244.4915996
6,30,2020,6/30/2020,41.41795,-83.0716,0,LM,,,,580.8976722
7,8,2020,7/8/2020,41.38706,-83.09216,0,UM,,,,327.5730446
7,21,2020,7/21/2020,41.38947,-83.10193,0,UM,,,,580.6140135
7,23,2020,7/23/2020,41.43688,-83.03561,0,M,,,,386.3195245
7,23,2020,7/23/2020,41.43688,-83.0356,0,M,,,,580.8976722
7,28,2020,7/28/2020,41.39122,-83.10303,0,UM,,,,832.1998281
7,30,2020,7/30/2020,41.44015,-83.03079,0,M,,,,238.1424161
7,30,2020,7/30/2020,41.4383,-83.03821,0,M,,,,104.7504045
8,10,2020,8/10/2020,41.40254945,-83.09153044,0,UM,,,,427.7756652
8,12,2020,8/12/2020,41.43412,-83.04229,0,M,,,,329.1393002
8,12,2020,8/12/2020,41.42869,-83.05818,0,LM,,,,631.3457122
8,13,2020,8/13/2020,41.35501516,-83.10595581,0,FM,,,,349.6662959
8,13,2020,8/13/2020,41.35633622,-83.10277164,0,FM,,,,195.4669489
8,24,2020,8/24/2020,41.43705186,-83.03606989,0,M,,,,207.1684299
8,24,2020,8/24/2020,41.4452092,-83.03139861,0,M,,,,206.3071279
8,25,2020,8/25/2020,41.38897348,-83.08517679,0,UM,,,,366.4909278
8,25,2020,8/25/2020,41.35557643,-83.10564731,0,FM,,,,297.0493643
8,25,2020,8/25/2020,41.35501289,-83.10608655,0,FM,,,,1008.439383
9,11,2020,9/11/2020,41.40465018,-83.08091512,1,LM,,,,252.2612282
9,15,2020,9/15/2020,41.43788151,-83.04167219,0,M,,,,994.7306544
9,16,2020,9/16/2020,41.40546887,-83.08019795,1,LM,,,,51.01086341
9,16,2020,9/16/2020,41.41066373,-83.07822744,1,LM,,,,75.48845101
9,16,2020,9/16/2020,41.3931428,-83.11168377,0,UM,,,,610.9578551
9,16,2020,9/16/2020,41.4303,-83.05882,0,LM,,,,419.7835686
9,17,2020,9/17/2020,41.41758967,-83.07121446,0,LM,,,,89.36075258
9,17,2020,9/17/2020,41.42004908,-83.07526379,0,LM,,,,121.0156018
9,21,2020,9/21/2020,41.36721637,-83.10682857,1,FM,,,,632.1101298
9,22,2020,9/22/2020,41.40469821,-83.08120457,1,LM,,,,313.4663427
9,22,2020,9/22/2020,41.39946474,-83.09764222,1,UM,,,,123.9000251
9,23,2020,9/23/2020,41.44232057,-83.03329213,0,M,,,,817.171907
9,23,2020,9/23/2020,41.42933311,-83.04619889,0,M,,,,365.0844314
9,24,2020,9/24/2020,41.39403,-83.09841,1,LM,,,,1630.972022
9,28,2020,9/28/2020,41.35236915,-83.1108387,0,FM,,,,329.8390762
9,28,2020,9/28/2020,41.36711151,-83.10688723,0,FM,,,,603.1128604
9,28,2020,9/28/2020,41.36836,-83.10566,0,FM,,,,669.6864706
9,28,2020,9/28/2020,41.35917131,-83.10004945,2,FM,,,,366.8986054
9,29,2020,9/29/2020,41.40077726,-83.09802511,0,UM,,,,261.8697896
9,29,2020,9/29/2020,41.39204911,-83.10212115,0,UM,,,,415.7500462
9,29,2020,9/29/2020,41.44341608,-83.03228607,0,M,,,,163.1930828
9,29,2020,9/29/2020,41.43755773,-83.04238007,0,M,,,,1134.194792
9,30,2020,9/30/2020,41.40268662,-83.09176899,0,UM,,,,843.58981
10,2,2020,10/2/2020,41.3930594,-83.09057416,1,UM,,,,428.2864219
10,8,2020,10/8/2020,41.36746535,-83.10673327,0,FM,,,,550.041316
10,12,2020,10/12/2020,41.38937134,-83.10565455,0,UM,,,,594.4348787
10,12,2020,10/12/2020,41.36730736,-83.10673534,0,FM,,,,559.5658561
10,13,2020,10/13/2020,41.39622881,-83.1024482,0,UM,,,,560.7230923
10,13,2020,10/13/2020,41.39266832,-83.09196544,2,UM,,,,264.0136039
10,13,2020,10/13/2020,41.38778039,-83.08580257,1,UM,,,,307.2895113
10,13,2020,10/13/2020,41.38698299,-83.08534857,0,UM,,,,637.1683456
10,13,2020,10/13/2020,41.37166937,-83.09532036,0,FM,,,,681.4687721
10,13,2020,10/13/2020,41.36774008,-83.10653538,0,FM,,,,513.8999326
10,13,2020,10/13/2020,41.36218226,-83.10264907,0,FM,,,,280.1510996
10,14,2020,10/14/2020,41.40470477,-83.07967805,0,LM,,,,7.593787308
10,14,2020,10/14/2020,41.40233854,-83.09126409,0,UM,,,,445.7191909
10,14,2020,10/14/2020,41.38361235,-83.09720634,0,UM,,,,549.5156513
10,14,2020,10/14/2020,41.36058455,-83.0997465,0,FM,,,,99.8519396
10,16,2020,10/16/2020,41.39515882,-83.10483063,1,UM,,,,27.88902887
10,16,2020,10/16/2020,41.38612641,-83.09487868,1,UM,,,,10.84036296
10,19,2020,10/19/2020,41.38945238,-83.10570147,0,UM,,,,575.3102558
10,19,2020,10/19/2020,41.39278715,-83.10003024,1,UM,,,,696.8204729
10,19,2020,10/19/2020,41.38863136,-83.08550707,0,UM,,,,351.6104351
10,19,2020,10/19/2020,41.38349295,-83.09703872,0,UM,,,,517.5734622
10,19,2020,10/19/2020,41.37147497,-83.09541947,1,FM,,,,519.3278391
10,19,2020,10/19/2020,41.37670947,-83.09549068,0,FM,,,,309.5997456
10,19,2020,10/19/2020,41.36709987,-83.10686086,0,FM,,,,492.4137411
10,19,2020,10/19/2020,41.36208651,-83.10245025,0,FM,,,,351.4349063
10,19,2020,10/19/2020,41.35957325,-83.09998332,1,FM,,,,360.2207604
10,20,2020,10/20/2020,41.36068739,-83.09994823,0,FM,,,,677.3033096
10,26,2020,10/26/2020,41.38534959,-83.08577883,0,UM,,,,480.1083329
10,26,2020,10/26/2020,41.3845852,-83.09640392,0,UM,,,,467.9247418
10,26,2020,10/26/2020,41.37206956,-83.09492036,1,FM,,,,391.9843536
10,26,2020,10/26/2020,41.36769097,-83.10663737,0,FM,,,,477.144408
10,26,2020,10/26/2020,41.35561,-83.107,0,FM,,,,268.2017704
10,26,2020,10/26/2020,41.3586,-83.10004,0,FM,,,,299.8946943
10,26,2020,10/26/2020,41.35931242,-83.10057559,0,FM,,,,295.5587068
10,28,2020,10/28/2020,41.39048926,-83.1060402,0,UM,,,,422.0448047
10,28,2020,10/28/2020,41.39320891,-83.09930623,0,UM,,,,629.5183408
10,28,2020,10/28/2020,41.371452,-83.09543102,0,FM,,,,476.3183207
10,28,2020,10/28/2020,41.37831507,-83.09543762,0,FM,,,,434.575592
10,28,2020,10/28/2020,41.36529248,-83.10664117,0,FM,,,,725.1475865
10,28,2020,10/28/2020,41.36210761,-83.1025285,0,FM,,,,571.2762785
10,28,2020,10/28/2020,41.36010595,-83.10011933,0,FM,,,,292.0110101
4,19,2021,4/19/2021,41.38919881,-83.1039413,0,UM,,,,322.757194
4,19,2021,4/19/2021,41.38653736,-83.09084278,0,UM,,,,222.8747207
4,19,2021,4/19/2021,41.37252919,-83.09497084,0,FM,,,,307.2313653
4,19,2021,4/19/2021,41.37832512,-83.09520443,1,FM,,,,177.0962481
