"","Form","Date","RM","SHORE","SF","DTSF","DTSF2","COND","TEMP","TDS","SALINITY","DO.","DO","Effort","CATCH","CPUE","YEAR","MON","pa","AREA_2","S_Tide","P_Tide","Experimental_Net_ID","Experimental_Net","PRESENCE","Rkm","SFkm","logCATCH","logSAL","Tide"
"72",200917049,"4/16/2009 0:00",36,3,42,-9.65604,0.348015417048793,3999,8.6,3.8,3.17,99,11.3,1.17333,6,0.511365089,"2009","4",1,NA,2,4,"","0",1,57.93624,67.59228,6,1.15373158788919,2
"73",200917050,"4/17/2009 0:00",38,3,39,-1.60934,0.415930477772877,6527,8.3,6.24,5.41,97,11.1,1.21777,3,0.246351938,"2009","4",1,NA,2,2,"","0",1,61.15492,62.76426,3,1.68824909285839,2
"74",200917051,"4/17/2009 0:00",38,3,39,-1.60934,0.415930477772877,8435,8.1,7.93,6.15,94,10.5,1.2237,4,0.326877503,"2009","4",1,NA,2,2,"","0",1,61.15492,62.76426,4,1.81645208181843,2
"75",200917052,"4/17/2009 0:00",37,1,39,-3.21868,0.40234746562806,2795,9.2,2.58,2.11,100,11.3,1.14074,0,0,"2009","4",0,NA,2,4,"","0",0,59.54558,62.76426,0,0.746687947487975,2
"76",200917053,"4/17/2009 0:00",38,3,39,-1.60934,0.415930477772877,4832,8.5,4.51,3.86,97,11.1,1.14666,6,0.523258856,"2009","4",1,NA,2,2,"","0",1,61.15492,62.76426,6,1.35066718347674,2
"77",200917054,"4/20/2009 0:00",37,1,62,-40.2335,0.0899381862972734,4867,10,4.42,3.75,101,11.1,1.05185,0,0,"2009","4",0,NA,4,1,"","0",0,59.54558,99.77908,0,1.32175583998232,1
"78",200917055,"4/20/2009 0:00",38,1,62,-38.62416,0.10352119844209,4278,10.1,3.94,3.34,101,11.2,1.05777,0,0,"2009","4",0,NA,4,2,"","0",0,61.15492,99.77908,0,1.20597080698861,1
"79",200917056,"4/21/2009 0:00",36,3,64,-45.06152,0.0491891498628229,18758,8,18.05,16.9,91,9.7,1.07259,0,0,"2009","4",0,NA,2,2,"","0",0,57.93624,102.99776,0,2.82731362192903,2
"80",200917057,"4/21/2009 0:00",36,3,64,-45.06152,0.0491891498628229,19404,7.9,18.72,17.66,90,9.5,1.25333,2,0.159574892,"2009","4",1,NA,2,2,"","0",1,57.93624,102.99776,2,2.87130219517581,2
"81",200917058,"4/21/2009 0:00",38,1,64,-41.84284,0.0763551741524565,7383,9.5,6.98,6.03,97,10.6,1.15555,0,0,"2009","4",0,NA,2,2,"","0",0,61.15492,102.99776,0,1.79674701073909,2
"82",200917059,"4/21/2009 0:00",38,1,64,-41.84284,0.0763551741524565,6142,9.7,5.65,4.91,100,11,1.67703,6,0.357775353,"2009","4",1,NA,2,2,"","0",1,61.15492,102.99776,6,1.59127394180643,2
"83",200917060,"4/22/2009 0:00",38,1,65,-43.45218,0.0627721620076396,6657,9.7,6.11,5.3,98,10.8,1.12592,2,0.177632514,"2009","4",1,NA,4,1,"","0",1,61.15492,104.6071,2,1.66770682055808,1
"84",200917061,"4/22/2009 0:00",38,3,65,-43.45218,0.0627721620076396,8273,9.6,7.61,6.67,97,10.6,1.45777,4,0.274391708,"2009","4",1,NA,4,2,"","0",1,61.15492,104.6071,4,1.89761985992753,1
"85",200917062,"4/23/2009 0:00",37,1,64,-43.45218,0.0627721620076397,6704,9.6,6.16,5.39,92,10.1,1.18222,0,0,"2009","4",0,NA,4,4,"","0",0,59.54558,102.99776,0,1.68454538492091,1
"86",200917063,"4/23/2009 0:00",37,1,64,-43.45218,0.0627721620076397,12222,9.1,6.42,8,91,9.7,0.96296,1,0.103846473,"2009","4",1,NA,4,2,"","0",1,59.54558,102.99776,1,2.07944154167984,1
"87",200917064,"4/24/2009 0:00",37,3,63,-41.84284,0.0763551741524565,8565,8.9,7.9,6.92,92,9.9,1.07259,1,0.09323227,"2009","4",1,NA,4,4,"","0",1,59.54558,101.38842,1,1.93441576962958,1
"88",200917065,"4/24/2009 0:00",36,3,63,-43.45218,0.0627721620076397,8618,9.7,7.9,6.97,94,10.1,1.34518,5,0.371697468,"2009","4",1,NA,4,4,"","0",1,57.93624,101.38842,5,1.94161522477243,1
